Name,High School Attended,Hometown,Position,Rating
Da'Quan Bowers,Bamberg-Ehrhardt High School,"Bamberg, SC",DE,95
Julio Jones,Foley High School,"Foley, AL",WR,95
Will Hill,St. Peter's Prep,"West Orange, NJ",S,94
Terrelle Pryor,Jeannette High School,"Jeannette, PA",QB,93
A.J. Green,Summerville High School,"Ridgeville, SC",WR,91
Patrick Peterson,Blanche Ely High School,"Pembroke Pines, FL",CB,90
Arthur Brown,Wichita East High School,"Wichita, KS",OLB,90
Jermie Calhoun,Van High School,"Van, TX",RB,90
Darrell Scott,Saint Bonaventure High School,"Moorpark, CA",RB,89
Dee Finley,Auburn High School,"Auburn, AL",S,88
R.J. Washington,Fossil Ridge High School,"Keller, TX",DE,87
Jamie Harper,Trinity Christian Academy,"Jacksonville, FL",RB,86
Chancey Aghayere,Garland High School,"Garland, TX",DE,86
Josh Jarboe,Cedar Grove High School,"Decatur, GA",WR,86
Brice Butler,Norcross High School,"Norcross, GA",WR,86
Etienne Sabino,Dr. Krop High School,"Miami, FL",ILB,85
Dan Buckner,Allen High School,"Allen, TX",WR,85
D.J. Grant,LBJ High School,"Austin, TX",WR,85
Burton Scott,Vigor High School,"Prichard, AL",ATH,84
Sean Spence,Miami Northwestern High School,"Miami, FL",OLB,84
Dayne Crist,Notre Dame High School,"Canoga Park, CA",QB,84
Blake Ayles,Orange Lutheran High School,"Orange, CA",TE,84
DeAndre Brown,Ocean Springs High School,"Ocean Springs, MS",WR,84
Spencer Adams,Butler High School,"Matthews, NC",S,83
Andre Ellington,Berkeley High School,"Moncks Corner, SC",RB,83
Brandon Thompson,Thomasville High School,"Thomasville, GA",DT,83
Kyle Parker,Bartram Trail High School,"Jacksonville, FL",QB,83
Terrance Parks,Creekside High School,"Fairburn, GA",CB,83
Jermaine Thomas,First Coast High School,"Jacksonville, FL",ATH,83
Mike Glennon,Westfield High School,"Centreville, VA",QB,83
Andrew Sweat,Trinity High School,"Washington, PA",ILB,83
Michael Brewster,Edgewater High School,"Orlando, FL",OT,83
Courtney Upshaw,Eufaula High School,"Eufaula, AL",DE,83
Tyler Love,Mountain Brook High School,"Birmingham, AL",OT,83
Joe Adams,Central Arkansas Christian School,"Little Rock, AR",ATH,83
Aundre Dean,Katy High School,"Katy, TX",RB,83
Omar Hunter,Buford High School,"Buford, GA",DT,83
Janoris Jenkins,Pahokee High School,"Pahokee, FL",CB,83
William Green,Spain Park High School,"Birmingham, AL",DE,83
Richard Samuel,Cass High School,"Cartersville, GA",RB,83
DeAngelo Tyson,Statesboro High School,"Statesboro, GA",DT,83
Brandon Harris,Booker T. Washington High School,"Miami, FL",CB,83
Marcus Forston,Miami Northwestern High School,"Miami, FL",DT,83
Blaine Gabbert,Parkway West High School,"Ballwin, MO",QB,83
Mike Floyd,Cretin-Derham Hall High School,"Saint Paul, MN",WR,83
Jonathan Baldwin,Aliquippa High School,"Aliquippa, PA",WR,83
T.J. Bryant,Lincoln High School,"Tallahassee, FL",CB,83
Ryan Williams,Stonewall Jackson High School,"Manassas, VA",RB,83
D.J. Stafford,,"LaGrange, GA",DT(POST),83
Antoine McClain,Anniston High School,"Anniston, AL",OT,82
Dwayne Allen,Terry Sanford High School,"Fayetteville, NC",TE,82
Xavier Brewer,Bartram Trail High School,"Jacksonville, FL",CB,82
Nigel Carr,First Coast High School,"Jacksonville, FL",OLB,82
Nigel Bradham,Wakulla County High School,"Crawfordville, FL",ILB,82
E.J. Manuel,Bayside High School,"Virginia Beach, VA",QB,82
