Name,High School Attended,Hometown,POS,Rating
Brandon Abner,Captain Shreve High School,"Shreveport, LA",DT,50
Chris Adkins,Jenks High School,"Jenks, OK",RB,50
Cory Adams,Austintown Fitch High School,"Youngstown, OH",OT,50
Frank Allen,Holy Cross High School,"Delran, NJ",OT,50
Joe Akey,Merrill High School,"Merrill, WI",DE,50
Sam Adams,College Park High School,"Pleasant Hill, CA",OLB,50
Seth Addis,T. L. Hanna High School,"Anderson, SC",OT,50
Slade Adams,Mount Juliet High School,"Mount Juliet, TN",OT,50
Andrew Krutsinger,Alief Taylor High School,"Houston, TX",OC,57
Dominic Carmazzi,Jesuit High School,"Sacramento, CA",QB,57
Elijah Smurthwaite,Grove City High School,"Grove City, OH",QB,57
Ron Dunn,,"Abington, MA",OG(POST),57
Scott MacLeod,De La Salle Collegiate High School,"Sterling Heights, MI",OC,57
Brandon Walker,Marshall County High School,"Benton, KY",S,58
Jarison Johnson,Red Mountain High School,"Mesa, AZ",RB,58
Jeff Cicchinelli,Columbine Senior High School,"Little Rock, CO",RB,58
Jonathon Moment,Lake Highland Prep School,"Orlando, FL",ILB,58
Jordan Ebinger,Normandy High School,"Parma, OH",TE,58
Jordan Goffena,Sidney High School,"Sidney, OH",DE,58
Karim Williams,Crespi Carmelite High School,"Encino, CA",DT,58
Parker Jolly,Rocky Mountain High School,"Fort Collins, CO",OC,58
Trent Wilkins,Duncan High School,"Duncan, OK",QB,58
Trevor Stapp,Corona Del Sol High School,"Tempe, AZ",OC,58
Truman Chun,Kamehameha Schools,"Honolulu, HI",RB,58
Tyler Hujik,Tremper High School,"Kenosha, WI",WR,58
Alex Peterson,Indianola High School,"Indianola, IA",OG,59
Armand Jackson,Dreher High School,"Columbia, SC",DT,59
Blaise Deal,Moon Valley High School,"Phoenix, AZ",RB,59
Brian Leonhardt,Spring Lake Park High School,"Spring Lake Park, MN",OG,59
Brock Jackolski,William Floyd High School,"Mastic Beach, NY",RB,59
Bruce Ernest,Kings High School,"Kings Mills, OH",QB,59
Bryant McKnight,New Philadelphia High School,"New Philadelphia, OH",S,59
Byron Poole,Como Park High School,"Saint Paul, MN",RB,59
Cameron Brown,Bear Creek High School,"Lakewood, CO",OT,59
Chaz Powell,Arvada High School,"Arvada, CO",DT,59
Clint Cashen,Corbin High School,"Corbin, KY",QB,59
Dan Roper,Clayton Valley Charter High School,"Concord, CA",DT,59
Dave Plungas,Lake Catholic High School,"Mentor, OH",ILB,59
