Name,High School Attended,Hometown,Position,Rating
Matt Barkley,Mater Dei High School,"Santa Ana, CA",#1 QB,93
Manti Te'o,Punahou School,"Honolulu, HI",#1 OLB,93
Dre Kirkpatrick,Gadsden High School,"Gadsden, AL",#1 CB,92
Russell Shepard,Cypress Ridge High School,"Houston, TX",#1 ATH,92
Trent Richardson,Escambia High School,"Pensacola, FL",#1 RB,91
Jacobbi McDaniel,Madison County High,"Greenville, FL",#1 DT,91
Craig Loston,Dwight D. Eisenhower High School,"Aldine, TX",#1 S,90
Bryce Brown,Wichita East High School,"Wichita, KS",#2 RB,88
Dee Finley,Milford Academy,"Auburn, AL",S(POST),88
Jelani Jenkins,Good Counsel High School,"Wheaton, MD",#2 OLB,87
Garrett Gilbert,Lake Travis High School,"Austin, TX",#2 QB,86
Devon Kennard,Desert Vista High School,"Phoenix, AZ",#1 DE,86
Aaron Murray,Plant Senior High School,"Tampa, FL",#3 QB,86
D.J. Fluker,Foley High School,"Foley, AL",#1 OT,86
Rueben Randle,Bastrop High School,"Bastrop, LA",#1 WR,86
Stephon Gilmore,South Pointe High School,"Rock Hill, SC",#2 S,85
Andre Debose,Seminole High School,"Sanford, FL",#2 WR,85
Greg Reid,Lowndes High School,"Valdosta, GA",#2 CB,85
Vontaze Burfict,Centennial High School,"Corona, CA",#1 ILB,85
Devonte Holloman,South Pointe High School,"Rock Hill, SC",#3 S,84
Ray Ray Armstrong,Seminole High School,"Sanford, FL",#4 S,84
Marlon Brown,Harding Academy,"Memphis, TN",#3 WR,84
Gary Brown,West Gadsden High School,"Quincy, FL",#2 DT,84
Darius Winston,West Helena Central High School,"Helena, AR",#3 CB,84
Nico Johnson,Andalusia High School,"Andalusia, AL",#2 ILB,84
Jaamal Berry,Miami Palmetto High School,"Miami, FL",#3 RB,84
Sam Montgomery,Greenwood High School,"Greenwood, SC",#2 DE,84
David Wilson,George Washington High School,"Danville, VA",#5 RB,83
Morgan Moses,Meadowbrook High School,"Richmond, VA",#6 OT,83
Paden Kelley,Lake Travis High School,"Austin, TX",#2 OT,83
Mason Walters,Frenship High School,"Wolfforth, TX",#1 OC,83
Darren Myles Jr.,Carver High School,"Atlanta, GA",#5 S,83
Kevin Graf,Agoura High School,"Agoura, CA",#4 OT,83
Frankie Telfort,Gulliver Prep School,"Miami, FL",#3 OLB,83
John Martinez,Cottonwood High School,"Salt Lake City, UT",#1 OG,83
Jarvis Giles,Gaither High School,"Tampa, FL",#6 RB,83
Damario Jeffery,Columbia High School,"Columbia, SC",#6 S,83
Jamarkus McFarland,Lufkin High School,"Lufkin, TX",#6 DT,83
Shaquelle Evans,Inglewood High School,"Inglewood, CA",#4 WR,83
Tyler Stockton,The Hun School Of Princeton,"Princeton, NJ",#3 DT,83
Jheranie Boyd,Ashbrook High School,"Gastonia, NC",#6 WR,83
Craig Roh,Chaparral High School,"Scottsdale, AZ",#4 DE,83
Prince Kent,Norcross High School,"Norcross, GA",#5 CB,83
Branden Smith,Booker T. Washington High School,"Atlanta, GA",#4 CB,83
Austin Long,Briarcrest Christian High School,"Memphis, TN",#5 OT,83
Xavier Nixon,Jack Britt High School,"Fayetteville, NC",#7 OT,83
Randall Carroll,Cathedral High School,"Los Angeles, CA",#5 WR,83
Xavier Su'a-Filo,Timpview High School,"Pleasant Grove, UT",#3 OT,83
Morrell Presley,Carson High School,"Carson, CA",#1 TE,83
A.J. McCarron,Saint Paul's Episcopal School,"Mobile, AL",#4 QB,83
Dorian Bell,Gateway High School,"Monroeville, PA",#4 OLB,83
Christine Michael,West Brook Senior High School,"Beaumont, TX",#4 RB,83
Joshua Downs,Bastrop High School,"Bastrop, LA",#4 DT,83
Chris Davenport,Mansfield High School,"Mansfield, LA",#7 DT,83
Demonte McAllister,Alonso High School,"Tampa, FL",#3 DE,83
Corey Adams,Saguaro High School,"Scottsdale, AZ",#5 DT,83
Eric Fields,,"Warner Robins, GA",#5 OLB,83
Thomas Ashcraft,Cedar Hill High School,"Cedar Hill, TX",#5 OG,82
Marcus Davis,Clear Creek High,"League City, TX",#8 CB,82
Chris Whaley,Madisonville High School,"Madisonville, TX",#9 RB,82
Janzen Jackson,Barbe High School,"Lake Charles, LA",#9 CB,82
Byron Moore Jr.,Narbonne High School,"Harbor City, CA",#3 ATH,82
Jarvis Jones,Carver High School,"Columbus, GA",#6 OLB,82
Ryne Giddins,Armwood High School,"Seffner, FL",#5 DE,82
Chris Payne,Columbia High School,"Columbia, SC",#9 S,82
Ronnell Lewis,Dewar High School,"Dewar, OK",#7 OLB,82
Tom Wort,New Braunfels High School,"New Braunfels, TX",#3 ILB,82
Gabe Lynn,Jenks High School,"Jenks, OK",#8 S,82
Chris Watt,Glenbard West High School,"Glen Ellyn, IL",#4 OG,82
Donte Moss,Northside High School,"Jacksonville, NC",#6 DE,82
Donavan Tate,Cartersville High School,"Cartersville, GA",#6 ATH,82
Zaccheus Mason,Christ Presbyterian Academy,"Nashville, TN",#2 TE,82
Quinton Washington,Timberland High School,"Saint Stephen, SC",#6 OG,82
Je'Ron Stokes,Northeast High School,"Philadelphia, PA",#8 WR,82
Brandon McGee,Plantation High School,"Fort Lauderdale, FL",#2 ATH,82
Jamal Reid,Lafayette High School,"Mayo, FL",#5 ATH,82
Terry Hawthorne,East St. Louis High School,"East Saint Louis, IL",#10 WR,82
Chris Burnette,Troup County Comprehensive High Sch,"LaGrange, GA",#2 OG,82
Washaun Ealey,Emanuel County Institute,"Twin City, GA",#8 RB,82
Nick Alajajian,Naples High School,"Naples, FL",#3 OG,82
Steve Williams,Skyline High School,"Dallas, TX",#7 CB,82
Kendall Kelly,Gadsden High School,"Gadsden, AL",#7 WR,82
C.J. Barnett,Northmont Senior High School,"Clayton, OH",#10 CB,82
Darrell Givens,Lackey High School,"Indian Head, MD",#6 CB,82
Eric Shrive,West Scranton High School,"Scranton, PA",#9 OT,82
Montrell Conner,Ouachita Parish High School,"Monroe, LA",#7 RB,82
David Barrent,Valley High School,"Clive, IA",#8 OT,82
Gerald Demps,Lowndes High School,"Valdosta, GA",#7 S,82
Bryce McNeal,Breck School,"Minneapolis, MN",#9 WR,82
Tajh Boyd,Phoebus High School,"Hampton, VA",#5 QB,82
Darius Jones,Marshall High School,"Marshall, TX",#4 ATH,82
Eugene Smith,Miramar High School,"Miramar, FL",#8 QB,81
Logan Thomas,Brookville High School,"Lynchburg, VA",#8 ATH,81
Kraig Appleton,East St. Louis High School,"East Saint Louis, IL",#15 WR,81
Tariq Allen,MacArthur High School,"Irving, TX",#4 ILB,81
Barrett Matthews,North Shore High School,"Houston, TX",#3 TE,81
Nu'Keese Richardson,Pahokee High School,"Pahokee, FL",#13 WR,81
David Oku,Lincoln East High School,"Lincoln, NE",#13 RB,81
Jerod Askew,Oscar Frommel Smith High School,"Chesapeake, VA",#12 OLB,81
Patrick Hall,Saint Bonaventure High School,"Ventura, CA",#9 ATH,81
T.J. McDonald,Edison High School,"Fresno, CA",#10 S,81
Alshon Jeffery,Calhoun County High School,"Saint Matthews, SC",#12 WR,81
Cliff Harris,Edison High School,"Fresno, CA",#11 CB,81
Kevin Brent,South Oak Cliff High,"Dallas, TX",#13 S,81
Justin Chaisson,Bishop Gorman High School,"Las Vegas, NV",#8 DE,81
E.J. Banks,Montour High School,"Mckees Rocks, PA",#13 ATH,81
Cierre Wood,Santa Clara High School,"Oxnard, CA",#11 ATH,81
Zach Martin,Bishop Chatard High School,"Indianapolis, IN",#10 OT,81
Bryn Renner,West Springfield High School,"Lorton, VA",#6 QB,81
Sheldon Richardson,Gateway Inst. Of Technology H. S.,"Saint Louis, MO",#8 DT,81
Pat Patterson,Noxubee County High School,"Macon, MS",#14 WR,81
Craig Drummond,Morgan Park High School,"Chicago, IL",#7 DE,81
Moses Alipate,Jefferson High School,"Bloomington, MN",#11 QB,81
Denard Robinson,Deerfield Beach High School,"Deerfield Beach, FL",#7 ATH,81
Tate Forcier,Scripps Ranch High School,"San Diego, CA",#14 QB,81
Isaiah Bell,Liberty High School,"Youngstown, OH",#11 S,81
Lamar Miller,Miami Killian High School,"Miami, FL",#12 RB,81
Dyron Dye,Seminole High School,"Sanford, FL",#11 DE,81
D.J. Adams,Norcross High School,"Norcross, GA",#16 RB,81
Morgan Newton,Carmel High School,"Carmel, IN",#15 QB,81
Keenan Davis,Washington Senior High School,"Cedar Rapids, IA",#16 WR,81
Dexter Moody,Emanuel County Institute,"Twin City, GA",#10 OLB,81
Zach Mettenberger,Oconee County High School,"Watkinsville, GA",#9 QB,81
Mike Gillislee,DeLand High School,"DeLand, FL",#14 RB,81
Jon Bostic,Palm Beach Central High School,"Wellington, FL",#8 OLB,81
Jordan Reed,New London High School,"New London, CT",#13 QB,81
Richard Brehaut,Los Osos High School,"Rancho Cucamonga, CA",#7 QB,81
Tana Patrick,North Jackson High School,"Stevenson, AL",#9 OLB,81
Kerry Murphy,Hoover High School,"Hoover, AL",DT(LQ),81
Eddie Lacy,Dutchtown High School,"Geismar, LA",#17 RB,81
Petey Smith,Armwood High School,"Seffner, FL",#5 ILB,81
Jamie Wood,Pickerington Central High School,"Pickerington, OH",#12 S,81
Melvin Fellows,Garfield Heights High School,"Garfield Heights, OH",#10 DE,81
Jack Mewhort,Saint John's High School,"Toledo, OH",#2 OC,81
Duron Carter,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",#18 WR,81
Josh Nunes,Upland High School,"Upland, CA",#12 QB,81
Jamal Patterson,Henry County High School,"McDonough, GA",#17 WR,81
Tom Savage,Cardinal O'Hara High School,"Philadelphia, PA",#10 QB,81
Antwan Lowery,Christopher Columbus High School,"Miami, FL",#9 DT,81
Dexter Pratt,Navasota High School,"Navasota, TX",#15 RB,81
Chad Bumphis,Tupelo High School,"Tupelo, MS",#10 ATH,81
Edwin Baker,Oak Park High School,"Oak Park, MI",#11 RB,81
Drayton Calhoun,Tucker High School,"Tucker, GA",#12 ATH,81
Stavion Lowe,Brownwood High School,"Brownwood, TX",#7 OG,81
Michael Ford,Leesville High School,"Leesville, LA",#10 RB,81
Kevin Minter,Peachtree Ridge High School,"Suwanee, GA",#11 OLB,81
J.K. Jay,Christ Church Episcopal High,"Greenville, SC",#11 OT,81
Malliciah Goodman,West Florence High School,"Florence, SC",#9 DE,81
DeAngelo Benton,Bastrop High School,"Bastrop, LA",WR(LQ),81
Toby Jackson,Hargrave Military Academy,"Griffin, GA",DE(POST),81
Logan Heastie,Great Bridge High School,"Chesapeake, VA",#19 WR,80
Lanford  Collins,Brooke Point High School,"Stafford, VA",#20 DE,80
Theron Norman,Hermitage High School,"Richmond, VA",#17 ATH,80
Travis Reynolds,Boyd Anderson High School,"Fort Lauderdale, FL",#29 WR,80
Tyler Dippel,Union High School,"Slinger, WI",#1 FB,80
Jon Budmayr,Marian Central Catholic High,"Woodstock, IL",#16 QB,80
Calvin Howell,Earl Warren High School,"San Antonio, TX",#13 DT,80
Alex Okafor,Pflugerville High School,"Pflugerville, TX",#12 DE,80
Kendrick Hardy,Lawrence County High School,"Monticello, MS",#18 RB,80
De'von Flournoy,Birmingham High School,"Van Nuys, CA",#23 WR,80
Jawanza Starling,Lincoln High School,"Tallahassee, FL",#22 S,80
Victor Marc,Hallandale High School,"Hallandale Beach, FL",#19 RB,80
Ricardo Dixon,Hallandale High School,"Hallandale Beach, FL",#13 CB,80
Bradley Battles,Marianna High School,"Marianna, FL",#22 RB,80
D.J. Swearinger,Greenwood High School,"Greenwood, SC",#14 S,80
Lamar Scruggs,Fletcher Senior High School,"Neptune Beach, FL",#21 WR,80
Todd Thomas,Beaver Falls High School,"Beaver Falls, PA",#23 ATH,80
Gene Robinson,Whitehaven High School,"Memphis, TN",#16 S,80
Jared McAdoo,Chapel Hill High School,"Chapel Hill, NC",#12 DT,80
Travis Bond,Bertie High School,"Windsor, NC",#17 OT,80
Chris Metcalf,Compton High School,"Compton, CA",#15 OLB,80
Rodney Scott,Dixie County High School,"Cross City, FL",#24 RB,80
Taylor Lewan,Chaparral High School,"Scottsdale, AZ",#12 OT,80
Anthony LaLota,The Hun School Of Princeton,"Princeton, NJ",#13 DE,80
Justin Turner,Washington High School,"Massillon, OH",#21 ATH,80
Vladimir Emilien,Plantation High School,"Fort Lauderdale, FL",#21 S,80
Curtis  Porter,Victory Christian High School,"Charlotte, NC",#19 DT,80
Olivier Vernon,American High School,"Miami, FL",#16 DE,80
Dexter McDougle,Stafford High School,"Stafford, VA",#28 ATH,80
Travis Hawkins,Quince Orchard High School,"Gaithersburg, MD",#14 CB,80
Lendell Buckner,Leo High School,"Chicago, IL",#17 DT,80
Cornellius Carradine,Robert A. Taft High School,"Cincinnati, OH",#21 DE,80
Justin Green,Louisville Male High School,"Louisville, KY",#19 ATH,80
Abry Jones,,"Warner Robins, GA",#22 DE,80
Josh Evans,Irvington High School,"Irvington, NJ",#22 ATH,80
Edward Nuckols,Mission Hills High School,"San Marcos, CA",#14 DT,80
Nick Kasa,Legacy High School,"Broomfield, CO",#17 DE,80
Damien Thigpen,Stonewall Jackson High School,"Manassas, VA",#24 ATH,80
Alex Logan,J. K. Mullen High School,"Denver, CO",#18 S,80
Deandre Coleman,Garfield High School,"Seattle, WA",#15 DT,80
Mark Brazinski,Immaculata High School,"Basking Ridge, NJ",#3 OC,80
Brian Schwenke,Oceanside High School,"Oceanside, CA",#9 OG,80
Colby Berna,Fayetteville High School,"Fayetteville, AR",#10 OG,80
Knile Davis,Thurgood Marshall High School,"Missouri City, TX",#20 RB,80
David Gordon,East Central High School,"Tulsa, OK",#12 CB,80
Chris Bonds,Richland Northeast High School,"Columbia, SC",#10 DT,80
Mike Marrow,Central Catholic High School,"Toledo, OH",#2 FB,80
Ed Stinson,South Dade High School,"Homestead, FL",#22 DE,80
William Ming,Athens High School,"Athens, AL",#19 DE,80
Jonathan Atchison,Douglass High School,"Atlanta, GA",#14 OLB,80
Corey Linsley,Boardman High School,"Youngstown, OH",#12 OG,80
John Simon,Cardinal Mooney High School,"Youngstown, OH",#16 DT,80
Corey Brown,Gateway High School,"Monroeville, PA",#15 ATH,80
Marcus Hall,Glenville High School,"Cleveland, OH",#13 OT,80
Jacob Karam,Friendswood High School,"Friendswood, TX",#17 QB,80
Brandon Mahoney,Fossil Ridge High School,"Keller, TX",#13 OLB,80
Josh Boyce,Copperas Cove High School,"Copperas Cove, TX",#28 WR,80
Chris Henderson,Carter High School,"Dallas, TX",#18 DT,80
Shayne Skov,Trinity Pawling School,"Pawling, NY",#16 OLB,80
Jemari Roberts,Woodrow Wilson High School,"Long Beach, CA",#27 WR,80
Joey Fontana,Brother Martin High School,"New Orleans, LA",#14 OT,80
Logan Ryan,Eastern High School,"Voorhees, NJ",#15 CB,80
Malcolm Johnson,Hargrave Military Academy,"Bartow, FL",WR(POST),80
Mohamed Sanu,South Brunswick High School,"South Brunswick, NJ",#18 S,80
Jamil  Merrell,Paul M. Hodgson Voc-Tech H.S.,"Newark, DE",#14 DE,80
Anthony  Fera,St. Pius X High School,"Houston, TX",#2 K,80
Gerald Hodges,Paulsboro High School,"Paulsboro, NJ",#17 S,80
Kevin Newsome,Hargrave Military Academy,"Chesapeake, VA",#15 ATH,80
Justin Brown,Concord High School,"Wilmington, DE",#22 WR,80
Jon Lechner,Creighton Prep High School,"Omaha, NE",#16 OT,80
Ricco Sanders,James Byrnes High School,"Duncan, SC",#26 WR,80
Brandon Heavens,Bessemer Academy,"Bessemer, AL",#25 WR,80
Johnthan Banks,East Webster High School,"Maben, MS",#27 ATH,80
Andrew Maxwell,Midland High School,"Midland, MI",#18 QB,80
Larry Caper,Battle Creek Central High School,"Battle Creek, MI",#21 RB,80
Morris Claiborne,Fair Park High School,"Shreveport, LA",#26 ATH,80
Will Jackson,Farragut High School,"Knoxville, TN",#8 OG,80
David Sims,Calhoun County High School,"Saint Matthews, SC",#20 ATH,80
Brandon Jenkins,Florida High School,"Tallahassee, FL",#18 DE,80
Dustin Hopkins,Clear Lake High School,"Houston, TX",#1 K,80
Willie Downs,Godby High School,"Tallahassee, FL",#14 ATH,80
Rodney Smith,Archbishop Carroll High School,"Miami, FL",#20 WR,80
Michael Dobson,Mount Airy High School,"Mount Airy, NC",#25 ATH,80
Desmond Scott,Hillside High School,"Durham, NC",#23 RB,80
Jeff Fantuzzi,Dakota High School,"Macomb, MI",#15 OT,80
Terry Alletto,Ponderosa High School,"Parker, CO",#4 OC,80
Terrence Coleman,Lillie B. Williamson High School,"Mobile, AL",#15 DE,80
Dontae Aycock,Chamberlain High School,"Tampa, FL",#28 ATH,80
Jamar Travis,W. S. Neal High School,"East Brewton, AL",#11 DT,80
Travante Stallworth,Leesville High School,"Leesville, LA",#18 ATH,80
Kody Koebensky,Saguaro High School,"Scottsdale, AZ",#11 OG,80
D.J. Hunter,Middletown High School,"Middletown, OH",#20 S,80
Tevin McCaskill,Miami Northwestern High School,"Miami, FL",#15 S,80
Marquise Goodwin,Rowlett High School,"Rowlett, TX",#24 WR,80
Frank Souza,Nease High School,"Ponte Vedra Beach, FL",#25 DT,79
Antone Exum,Deep Run High School,"Glen Allen, VA",#41 ATH,79
Tariq Edwards,Marlboro County High School,"Cheraw, SC",#27 OLB,79
Cody Journell,Giles High School,"Pearisburg, VA",#3 K,79
Jayron Hosley,Atlantic Community High School,"Delray Beach, FL",#22 CB,79
Tim Smith,Oscar Frommel Smith High School,"Chesapeake, VA",#31 WR,79
Tucker Windle,Charlotte Catholic High School,"Charlotte, NC",#11 TE,79
Kapua Sai,Saint Louis School,"Honolulu, HI",#13 OG,79
Shavodrick Beaver,Rider High School,"Wichita Falls, TX",#21 QB,79
Corey Trisby,Herbert Hoover High School,"San Diego, CA",QB(LQ),79
Eryon Barnett,Trinity High School,"Euless, TX",#16 CB,79
Derek Johnson,Hoxie High School,"Hoxie, AR",#32 DT,79
Patrick Nkwopara,South Grand Prairie High School,"Grand Prairie, TX",#26 OLB,79
Trey Graham,Midway High School,"Waco, TX",#8 TE,79
Robert Nelson,Stone Mountain High School,"Stone Mountain, GA",#18 OLB,79
Toney Williams,Milton High School,"Alpharetta, GA",#36 RB,79
Zach Rogers,David Lipscomb High School,"Nashville, TN",#32 WR,79
Nigel Mitchell-Thornton,Stephenson High School,"Stone Mountain, GA",#20 OLB,79
Eric Gordon,Hillsboro High School,"Nashville, TN",#18 CB,79
Torin Harris,Palo Verde High School,"Las Vegas, NV",#40 ATH,79
James Boyd,David Starr Jordan High School,"Los Angeles, CA",#27 DE,79
